,,,,,,,,,
,,,,,,,,,
,Upset,,,,,,,,
,Over,,,,,,,,
,Under,,,GAMES ( *Conf. ),SPREAD,OVER / UNDER,SCORE,LOCATION,DATE / TIME (ET)
,No Odds,,,,,,,,
,1-Score Games,,WEEK 0,Florida State vs. Georgia Tech *,FSU -10.5,54.5,21 - 24,"Dublin, Ireland",24 Aug / 12:00 pm
,,,,SMU vs. Nevada,SMU -27.5,55.5,29 - 24,"Reno, NV",24 Aug / 8:00 pm
,,,,,,,,,
,,,,,,,,,
,,,WEEK 1,Western Carolina vs. NC State,NCSU -32.5,60.5,21 - 38,"Raleigh, NC",29 Aug / 7:00 pm
,,,,North Carolina A&T vs. Wake Forest,WF -37.5,49.5,13 - 45,"Winston-Salem, NC",29 Aug / 7:00 pm
,,,,North Carolina vs. Minnesota,UNC -1.5,52.5,19 - 17,"Minneapolis, MN",29 Aug / 9:00 pm
,,,,,,,,,
,,,,Elon vs. Duke,DUKE -24.5,47.5,3 - 26,"Durham, NC",30 Aug / 7:30 pm
,,,,TCU vs. Stanford,TCU -8.5,58.5,34 - 27,"Stanford, CA",30 Aug / 10:30 pm
,,,,,,,,,
,,,,Clemson vs. Georgia,UGA -10.5,49.5,3 - 34,"Atlanta, GA",31 Aug / 12:00 pm
,,,,Kent State vs. Pitt,PITT -23.5,54.5,24 - 55,"Pittsburgh, PA",31 Aug / 12:00 pm
,,,,Virginia Tech vs. Vanderbilt,VT -13.5,48.5,27 - 34 (OT),"Nashville, TN",31 Aug / 12:00 pm
,,,,Austin Peay vs. Louisville,LOU -38.5,54.5,0 - 62,"Louisville, KY",31 Aug / 12:00 pm
,,,,Ohio vs. Syracuse,SYR -17.5,45.5,22 - 38,"Syracuse, NY",31 Aug / 3:30 pm
,,,,Miami vs. Florida,MIA -2.5,54.5,41 - 17,"Gainsville, FL",31 Aug / 3:30 pm
,,,,UC Davis vs. Cal,CAL -20.5,56.5,13 - 31,"Berkeley, CA",31 Aug / 5:00 pm
,,,,Richmond vs. Virginia 🧡💙,UVA - 18.5,51.5,13 - 34,"Charlottesville, VA",31 Aug / 6:00 pm
,,,,Georgia State vs. Georgia Tech,GT -20.5,55.5,12 - 35,"Atlanta, GA",31 Aug / 8:00 pm
,,,,HCU vs. SMU,SMU -44.5,56.5,7 - 59,"Dallas, TX",31 Aug / 8:00 pm
,,,,,,,,,
